date,model,provider,field,price_usd_per_mtoken,source,source_ref
2025-12-03,mistral/mistral-large-latest,mistral,input_cost_per_token,2.0,litellm-git,13db8e10
2025-12-03,mistral/mistral-large-latest,mistral,output_cost_per_token,6.0,litellm-git,13db8e10
2025-12-03,deepseek-chat,deepseek,input_cost_per_token,0.6,litellm-git,13db8e10
2025-12-03,deepseek-chat,deepseek,output_cost_per_token,1.7,litellm-git,13db8e10
2025-12-03,deepseek-chat,deepseek,cache_read_input_token_cost,0.06,litellm-git,13db8e10
2025-12-03,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,13db8e10
2025-12-03,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,13db8e10
2025-12-03,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,13db8e10
2025-12-03,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,13db8e10
2025-12-17,claude-sonnet-4-6,anthropic,input_cost_per_token,3.0,litellm-git,e0af575e
2025-12-17,claude-sonnet-4-6,anthropic,output_cost_per_token,15.0,litellm-git,e0af575e
2025-12-17,claude-sonnet-4-6,anthropic,cache_read_input_token_cost,0.3,litellm-git,e0af575e
2025-12-17,claude-sonnet-4-6,anthropic,cache_creation_input_token_cost,3.75,litellm-git,e0af575e
2025-12-17,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,e0af575e
2025-12-17,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,e0af575e
2025-12-17,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,e0af575e
2025-12-17,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,e0af575e
2025-12-17,gpt-5,openai,input_cost_per_token,1.25,litellm-git,e0af575e
2025-12-17,gpt-5,openai,output_cost_per_token,10.0,litellm-git,e0af575e
2025-12-17,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,e0af575e
2025-12-17,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,e0af575e
2025-12-17,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,e0af575e
2025-12-17,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,e0af575e
2025-12-17,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,e0af575e
2025-12-17,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,e0af575e
2025-12-17,o1,openai,input_cost_per_token,15.0,litellm-git,e0af575e
2025-12-17,o1,openai,output_cost_per_token,60.0,litellm-git,e0af575e
2025-12-17,o1,openai,cache_read_input_token_cost,7.5,litellm-git,e0af575e
2025-12-17,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,e0af575e
2025-12-17,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,e0af575e
2025-12-17,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,e0af575e
2025-12-17,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,e0af575e
2025-12-17,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,e0af575e
2025-12-17,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,e0af575e
2025-12-17,gemini-3.1-flash-lite-preview,vertex_ai-language-models,input_cost_per_token,0.25,litellm-git,e0af575e
2025-12-17,gemini-3.1-flash-lite-preview,vertex_ai-language-models,output_cost_per_token,1.5,litellm-git,e0af575e
2025-12-17,gemini-3.1-flash-lite-preview,vertex_ai-language-models,cache_read_input_token_cost,0.025,litellm-git,e0af575e
2025-12-17,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,e0af575e
2025-12-17,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,e0af575e
2025-12-17,mistral/mistral-large-latest,mistral,input_cost_per_token,0.5,litellm-git,e0af575e
2025-12-17,mistral/mistral-large-latest,mistral,output_cost_per_token,1.5,litellm-git,e0af575e
2025-12-17,deepseek-chat,deepseek,input_cost_per_token,0.28,litellm-git,e0af575e
2025-12-17,deepseek-chat,deepseek,output_cost_per_token,0.42,litellm-git,e0af575e
2025-12-17,deepseek-chat,deepseek,cache_read_input_token_cost,0.028,litellm-git,e0af575e
2025-12-17,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,e0af575e
2025-12-17,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,e0af575e
2025-12-17,moonshot/kimi-k2.5,moonshot,input_cost_per_token,0.6,litellm-git,e0af575e
2025-12-17,moonshot/kimi-k2.5,moonshot,output_cost_per_token,3.0,litellm-git,e0af575e
2025-12-17,moonshot/kimi-k2.5,moonshot,cache_read_input_token_cost,0.1,litellm-git,e0af575e
2025-12-17,minimax/MiniMax-M2.5,minimax,input_cost_per_token,0.3,litellm-git,e0af575e
2025-12-17,minimax/MiniMax-M2.5,minimax,output_cost_per_token,1.2,litellm-git,e0af575e
2025-12-17,minimax/MiniMax-M2.5,minimax,cache_read_input_token_cost,0.03,litellm-git,e0af575e
2025-12-17,minimax/MiniMax-M2.5,minimax,cache_creation_input_token_cost,0.375,litellm-git,e0af575e
2025-12-17,zai/glm-4.7,zai,input_cost_per_token,0.6,litellm-git,e0af575e
2025-12-17,zai/glm-4.7,zai,output_cost_per_token,2.2,litellm-git,e0af575e
2025-12-17,zai/glm-4.7,zai,cache_read_input_token_cost,0.11,litellm-git,e0af575e
2025-12-17,zai/glm-4.7,zai,cache_creation_input_token_cost,0.0,litellm-git,e0af575e
2025-12-17,zai/glm-5,zai,input_cost_per_token,1.0,litellm-git,e0af575e
2025-12-17,zai/glm-5,zai,output_cost_per_token,3.2,litellm-git,e0af575e
2025-12-17,zai/glm-5,zai,cache_read_input_token_cost,0.2,litellm-git,e0af575e
2025-12-17,zai/glm-5,zai,cache_creation_input_token_cost,0.0,litellm-git,e0af575e
2025-12-17,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,e0af575e
2025-12-17,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,e0af575e
2026-01-03,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,9b1c5f7e
2026-01-03,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,9b1c5f7e
2026-01-03,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,9b1c5f7e
2026-01-03,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,9b1c5f7e
2026-01-03,gpt-5,openai,input_cost_per_token,1.25,litellm-git,9b1c5f7e
2026-01-03,gpt-5,openai,output_cost_per_token,10.0,litellm-git,9b1c5f7e
2026-01-03,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,9b1c5f7e
2026-01-03,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,9b1c5f7e
2026-01-03,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,9b1c5f7e
2026-01-03,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,9b1c5f7e
2026-01-03,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,9b1c5f7e
2026-01-03,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,9b1c5f7e
2026-01-03,o1,openai,input_cost_per_token,15.0,litellm-git,9b1c5f7e
2026-01-03,o1,openai,output_cost_per_token,60.0,litellm-git,9b1c5f7e
2026-01-03,o1,openai,cache_read_input_token_cost,7.5,litellm-git,9b1c5f7e
2026-01-03,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,9b1c5f7e
2026-01-03,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,9b1c5f7e
2026-01-03,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,9b1c5f7e
2026-01-03,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,9b1c5f7e
2026-01-03,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,9b1c5f7e
2026-01-03,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,9b1c5f7e
2026-01-03,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,9b1c5f7e
2026-01-03,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,9b1c5f7e
2026-01-03,mistral/mistral-large-latest,mistral,input_cost_per_token,2.0,litellm-git,9b1c5f7e
2026-01-03,mistral/mistral-large-latest,mistral,output_cost_per_token,6.0,litellm-git,9b1c5f7e
2026-01-03,deepseek-chat,deepseek,input_cost_per_token,0.6,litellm-git,9b1c5f7e
2026-01-03,deepseek-chat,deepseek,output_cost_per_token,1.7,litellm-git,9b1c5f7e
2026-01-03,deepseek-chat,deepseek,cache_read_input_token_cost,0.06,litellm-git,9b1c5f7e
2026-01-03,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,9b1c5f7e
2026-01-03,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,9b1c5f7e
2026-01-03,zai/glm-4.7,zai,input_cost_per_token,0.6,litellm-git,9b1c5f7e
2026-01-03,zai/glm-4.7,zai,output_cost_per_token,2.2,litellm-git,9b1c5f7e
2026-01-03,zai/glm-4.7,zai,cache_read_input_token_cost,0.11,litellm-git,9b1c5f7e
2026-01-03,zai/glm-4.7,zai,cache_creation_input_token_cost,0.0,litellm-git,9b1c5f7e
2026-01-03,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,9b1c5f7e
2026-01-03,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,9b1c5f7e
2026-01-10,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,0bc04ce1
2026-01-10,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,0bc04ce1
2026-01-10,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,0bc04ce1
2026-01-10,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,0bc04ce1
2026-01-10,gpt-5,openai,input_cost_per_token,1.25,litellm-git,0bc04ce1
2026-01-10,gpt-5,openai,output_cost_per_token,10.0,litellm-git,0bc04ce1
2026-01-10,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,0bc04ce1
2026-01-10,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,0bc04ce1
2026-01-10,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,0bc04ce1
2026-01-10,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,0bc04ce1
2026-01-10,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,0bc04ce1
2026-01-10,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,0bc04ce1
2026-01-10,o1,openai,input_cost_per_token,15.0,litellm-git,0bc04ce1
2026-01-10,o1,openai,output_cost_per_token,60.0,litellm-git,0bc04ce1
2026-01-10,o1,openai,cache_read_input_token_cost,7.5,litellm-git,0bc04ce1
2026-01-10,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,0bc04ce1
2026-01-10,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,0bc04ce1
2026-01-10,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,0bc04ce1
2026-01-10,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,0bc04ce1
2026-01-10,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,0bc04ce1
2026-01-10,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,0bc04ce1
2026-01-10,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,0bc04ce1
2026-01-10,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,0bc04ce1
2026-01-10,mistral/mistral-large-latest,mistral,input_cost_per_token,2.0,litellm-git,0bc04ce1
2026-01-10,mistral/mistral-large-latest,mistral,output_cost_per_token,6.0,litellm-git,0bc04ce1
2026-01-10,deepseek-chat,deepseek,input_cost_per_token,0.6,litellm-git,0bc04ce1
2026-01-10,deepseek-chat,deepseek,output_cost_per_token,1.7,litellm-git,0bc04ce1
2026-01-10,deepseek-chat,deepseek,cache_read_input_token_cost,0.06,litellm-git,0bc04ce1
2026-01-10,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,0bc04ce1
2026-01-10,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,0bc04ce1
2026-01-10,zai/glm-4.7,zai,input_cost_per_token,0.6,litellm-git,0bc04ce1
2026-01-10,zai/glm-4.7,zai,output_cost_per_token,2.2,litellm-git,0bc04ce1
2026-01-10,zai/glm-4.7,zai,cache_read_input_token_cost,0.11,litellm-git,0bc04ce1
2026-01-10,zai/glm-4.7,zai,cache_creation_input_token_cost,0.0,litellm-git,0bc04ce1
2026-01-10,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,0bc04ce1
2026-01-10,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,0bc04ce1
2026-01-16,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,ce1a2c32
2026-01-16,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,ce1a2c32
2026-01-16,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,ce1a2c32
2026-01-16,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,ce1a2c32
2026-01-16,gpt-5,openai,input_cost_per_token,1.25,litellm-git,ce1a2c32
2026-01-16,gpt-5,openai,output_cost_per_token,10.0,litellm-git,ce1a2c32
2026-01-16,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,ce1a2c32
2026-01-16,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,ce1a2c32
2026-01-16,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,ce1a2c32
2026-01-16,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,ce1a2c32
2026-01-16,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,ce1a2c32
2026-01-16,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,ce1a2c32
2026-01-16,o1,openai,input_cost_per_token,15.0,litellm-git,ce1a2c32
2026-01-16,o1,openai,output_cost_per_token,60.0,litellm-git,ce1a2c32
2026-01-16,o1,openai,cache_read_input_token_cost,7.5,litellm-git,ce1a2c32
2026-01-16,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,ce1a2c32
2026-01-16,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,ce1a2c32
2026-01-16,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,ce1a2c32
2026-01-16,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,ce1a2c32
2026-01-16,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,ce1a2c32
2026-01-16,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,ce1a2c32
2026-01-16,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,ce1a2c32
2026-01-16,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,ce1a2c32
2026-01-16,mistral/mistral-large-latest,mistral,input_cost_per_token,2.0,litellm-git,ce1a2c32
2026-01-16,mistral/mistral-large-latest,mistral,output_cost_per_token,6.0,litellm-git,ce1a2c32
2026-01-16,deepseek-chat,deepseek,input_cost_per_token,0.28,litellm-git,ce1a2c32
2026-01-16,deepseek-chat,deepseek,output_cost_per_token,0.42,litellm-git,ce1a2c32
2026-01-16,deepseek-chat,deepseek,cache_read_input_token_cost,0.028,litellm-git,ce1a2c32
2026-01-16,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,ce1a2c32
2026-01-16,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,ce1a2c32
2026-01-16,zai/glm-4.7,zai,input_cost_per_token,0.6,litellm-git,ce1a2c32
2026-01-16,zai/glm-4.7,zai,output_cost_per_token,2.2,litellm-git,ce1a2c32
2026-01-16,zai/glm-4.7,zai,cache_read_input_token_cost,0.11,litellm-git,ce1a2c32
2026-01-16,zai/glm-4.7,zai,cache_creation_input_token_cost,0.0,litellm-git,ce1a2c32
2026-01-16,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,ce1a2c32
2026-01-16,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,ce1a2c32
2026-01-24,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,31a8d76d
2026-01-24,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,31a8d76d
2026-01-24,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,31a8d76d
2026-01-24,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,31a8d76d
2026-01-24,gpt-5,openai,input_cost_per_token,1.25,litellm-git,31a8d76d
2026-01-24,gpt-5,openai,output_cost_per_token,10.0,litellm-git,31a8d76d
2026-01-24,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,31a8d76d
2026-01-24,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,31a8d76d
2026-01-24,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,31a8d76d
2026-01-24,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,31a8d76d
2026-01-24,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,31a8d76d
2026-01-24,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,31a8d76d
2026-01-24,o1,openai,input_cost_per_token,15.0,litellm-git,31a8d76d
2026-01-24,o1,openai,output_cost_per_token,60.0,litellm-git,31a8d76d
2026-01-24,o1,openai,cache_read_input_token_cost,7.5,litellm-git,31a8d76d
2026-01-24,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,31a8d76d
2026-01-24,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,31a8d76d
2026-01-24,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,31a8d76d
2026-01-24,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,31a8d76d
2026-01-24,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,31a8d76d
2026-01-24,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,31a8d76d
2026-01-24,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,31a8d76d
2026-01-24,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,31a8d76d
2026-01-24,mistral/mistral-large-latest,mistral,input_cost_per_token,2.0,litellm-git,31a8d76d
2026-01-24,mistral/mistral-large-latest,mistral,output_cost_per_token,6.0,litellm-git,31a8d76d
2026-01-24,deepseek-chat,deepseek,input_cost_per_token,0.28,litellm-git,31a8d76d
2026-01-24,deepseek-chat,deepseek,output_cost_per_token,0.42,litellm-git,31a8d76d
2026-01-24,deepseek-chat,deepseek,cache_read_input_token_cost,0.028,litellm-git,31a8d76d
2026-01-24,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,31a8d76d
2026-01-24,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,31a8d76d
2026-01-24,zai/glm-4.7,zai,input_cost_per_token,0.6,litellm-git,31a8d76d
2026-01-24,zai/glm-4.7,zai,output_cost_per_token,2.2,litellm-git,31a8d76d
2026-01-24,zai/glm-4.7,zai,cache_read_input_token_cost,0.11,litellm-git,31a8d76d
2026-01-24,zai/glm-4.7,zai,cache_creation_input_token_cost,0.0,litellm-git,31a8d76d
2026-01-24,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,31a8d76d
2026-01-24,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,31a8d76d
2026-02-01,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,76407bcf
2026-02-01,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,76407bcf
2026-02-01,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,76407bcf
2026-02-01,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,76407bcf
2026-02-01,gpt-5,openai,input_cost_per_token,1.25,litellm-git,76407bcf
2026-02-01,gpt-5,openai,output_cost_per_token,10.0,litellm-git,76407bcf
2026-02-01,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,76407bcf
2026-02-01,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,76407bcf
2026-02-01,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,76407bcf
2026-02-01,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,76407bcf
2026-02-01,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,76407bcf
2026-02-01,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,76407bcf
2026-02-01,o1,openai,input_cost_per_token,15.0,litellm-git,76407bcf
2026-02-01,o1,openai,output_cost_per_token,60.0,litellm-git,76407bcf
2026-02-01,o1,openai,cache_read_input_token_cost,7.5,litellm-git,76407bcf
2026-02-01,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,76407bcf
2026-02-01,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,76407bcf
2026-02-01,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,76407bcf
2026-02-01,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,76407bcf
2026-02-01,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,76407bcf
2026-02-01,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,76407bcf
2026-02-01,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,76407bcf
2026-02-01,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,76407bcf
2026-02-01,mistral/mistral-large-latest,mistral,input_cost_per_token,2.0,litellm-git,76407bcf
2026-02-01,mistral/mistral-large-latest,mistral,output_cost_per_token,6.0,litellm-git,76407bcf
2026-02-01,deepseek-chat,deepseek,input_cost_per_token,0.28,litellm-git,76407bcf
2026-02-01,deepseek-chat,deepseek,output_cost_per_token,0.42,litellm-git,76407bcf
2026-02-01,deepseek-chat,deepseek,cache_read_input_token_cost,0.028,litellm-git,76407bcf
2026-02-01,deepseek/deepseek-v3.2,deepseek,input_cost_per_token,0.28,litellm-git,76407bcf
2026-02-01,deepseek/deepseek-v3.2,deepseek,output_cost_per_token,0.4,litellm-git,76407bcf
2026-02-01,zai/glm-4.7,zai,input_cost_per_token,0.6,litellm-git,76407bcf
2026-02-01,zai/glm-4.7,zai,output_cost_per_token,2.2,litellm-git,76407bcf
2026-02-01,zai/glm-4.7,zai,cache_read_input_token_cost,0.11,litellm-git,76407bcf
2026-02-01,zai/glm-4.7,zai,cache_creation_input_token_cost,0.0,litellm-git,76407bcf
2026-02-01,dashscope/qwen-max,dashscope,input_cost_per_token,1.6,litellm-git,76407bcf
2026-02-01,dashscope/qwen-max,dashscope,output_cost_per_token,6.4,litellm-git,76407bcf
2026-02-08,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,4f96a3b1
2026-02-08,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,4f96a3b1
2026-02-08,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,4f96a3b1
2026-02-08,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,4f96a3b1
2026-02-08,gpt-5,openai,input_cost_per_token,1.25,litellm-git,4f96a3b1
2026-02-08,gpt-5,openai,output_cost_per_token,10.0,litellm-git,4f96a3b1
2026-02-08,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,4f96a3b1
2026-02-08,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,4f96a3b1
2026-02-08,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,4f96a3b1
2026-02-08,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,4f96a3b1
2026-02-08,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,4f96a3b1
2026-02-08,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,4f96a3b1
2026-02-08,o1,openai,input_cost_per_token,15.0,litellm-git,4f96a3b1
2026-02-08,o1,openai,output_cost_per_token,60.0,litellm-git,4f96a3b1
2026-02-08,o1,openai,cache_read_input_token_cost,7.5,litellm-git,4f96a3b1
2026-02-08,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,4f96a3b1
2026-02-08,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,4f96a3b1
2026-02-08,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,4f96a3b1
